example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
EX-001,body work shops near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Core service phrase; near me is local demand,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-002,car body work repair,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Car body work is legitimate body-shop search (owner A and C),POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-003,body work shop,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Body work shop is the business type,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-004,body work near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Owner: body work is the actual service,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-005,automotive body work near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Automotive body work + near me,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-006,body work for cars near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Same concept,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-007,auto body works near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Auto body works is the service; code seed body works stemmed onto this,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-008,auto body shop new rochelle,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Owner: city + auto body shop is a local customer not a competitor; New Rochelle missing from city list,POL-NEAR-ME;NAMED_LOCAL_SHOP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-009,cadillac body shop near me,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Owner: brand + body shop is real collision/body intent not a dealer search,POL-BODYWORK-KEEP;DEALER_OR_AUTO_GROUP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-010,car body works,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Same as auto body works,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
EX-011,bmw body work repairs,UNKNOWN live Built by Shah campaign,,,,,QUALIFIED,KEEP,,,,Owner: OEM + body work is keep,POL-BODYWORK-KEEP,Cursor conversation 0715bce9 2026-08-25 owner-labeled false adds; answers A and C,EXPLICIT_USER_LABEL,CURRENT CODE likely ADDED via LOCAL_COMPETITOR body works stem and/or cadillac body and/or NAMED_LOCAL_SHOP. Do not treat code result as correct.
