example_id,search_term,campaign_context,ad_group_context,matched_keyword,location_context,metrics_context,expected_intent,expected_operation,negative_text_if_any,match_type_if_any,scope_if_any,reason,rule_ids,source,evidence_status,notes
RV-001,13561 goldmark,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,13561 goldmark,EXACT,campaign,Bare address-style string with no service intent,POL-ADDRESS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: these are addresses
RV-002,3910 w airport fwy irving tx 75062,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,3910 w airport fwy irving tx 75062,EXACT,campaign,Bare address without service term,POL-ADDRESS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: these are addresses
RV-003,4301 doskocil dr arlington tx 76017,Account name P&C AUTOMOTIVE,,auto body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,4301 doskocil dr arlington tx 76017,EXACT,campaign,Address-only query with no service intent,POL-ADDRESS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: these are addresses
RV-004,905 k ave plano tx 75074,Account name P&C AUTOMOTIVE,,collision repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,905 k ave plano tx 75074,EXACT,campaign,Bare street address lacks service intent,POL-ADDRESS-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: these are addresses
RV-005,affordable body shop near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,affordable body shop near me,EXACT,campaign,Low-budget qualifier indicates price-driven shopper,POL-FINANCING-BUDGET-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: low cost or cheap intent not wanted
RV-006,auto body shops that finance near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto body shops that finance near me,EXACT,campaign,Financing qualifier indicates no capacity to pay,POL-FINANCING-BUDGET-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: tight budget indicator
RV-007,body shops with payment plans near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shops with payment plans near me,EXACT,campaign,Payment-plan qualifier indicates budget shopper,POL-FINANCING-BUDGET-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: tight budget indicator
RV-008,discount body shop near me,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,discount body shop near me,EXACT,campaign,Discount qualifier indicates price-driven shopper,POL-FINANCING-BUDGET-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: tight budget indicator
RV-009,sunbit auto repair,Account name P&C AUTOMOTIVE,,auto body and auto repair,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,sunbit auto repair,EXACT,campaign,BNPL financing brand plus auto repair,POL-FINANCING-BUDGET-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: competitor name
RV-010,collision tech,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,collision tech,EXACT,campaign,Technician/profession token not customer intent,POL-MECHANICAL-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: mechanic specialist technician mentions are negative
RV-011,auto body mechanics,Account name P&C AUTOMOTIVE,,car body shop,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,auto body mechanics,EXACT,campaign,Mechanic token overrides body wording,POL-MECHANICAL-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: mechanic specialist technician mentions are negative
RV-012,body shop mechanic near me,Account name P&C AUTOMOTIVE,,auto body repair near me,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,body shop mechanic near me,EXACT,campaign,Mechanic token overrides body shop wording,POL-MECHANICAL-ONLY-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: mechanic specialist technician mentions are negative
RV-013,american auto protection,Account name P&C AUTOMOTIVE,,,,,DISQUALIFIED,AUTO_NEGATIVE_ALLOWED,american auto protection,EXACT,campaign,No body repair or collision mention and no accident reference,POL-NO-SERVICE-SIGNAL-NEGATIVE,P&C ST Review owner notes 2026-08-28,EXPLICIT_USER_LABEL,Owner: no service signal
